,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,30,83,54,6,0,55.55,7,caught,1,v Sri Lanka,Chennai,2 Dec 2005
1,5,19,12,1,0,41.66,7,bowled,1,v Sri Lanka,Delhi,10 Dec 2005
2,51*,83,51,5,2,100.00,8,not out,3,v Sri Lanka,Delhi,10 Dec 2005
3,49,100,62,7,0,79.03,7,lbw,1,v Sri Lanka,Ahmedabad,18 Dec 2005
4,14,26,20,1,0,70.00,7,lbw,3,v Sri Lanka,Ahmedabad,18 Dec 2005
5,DNB,-,-,-,-,-,-,-,2,v Pakistan,Lahore,13 Jan 2006
6,148,229,153,19,4,96.73,6,stumped,2,v Pakistan,Faisalabad,21 Jan 2006
7,DNB,-,-,-,-,-,-,-,4,v Pakistan,Faisalabad,21 Jan 2006
8,13,30,13,3,0,100.00,7,caught,2,v Pakistan,Karachi,29 Jan 2006
9,18,42,35,4,0,51.42,7,caught,4,v Pakistan,Karachi,29 Jan 2006
10,5,14,10,1,0,50.00,7,caught,2,v England,Nagpur,1 Mar 2006
11,16,44,21,1,0,76.19,5,caught,4,v England,Nagpur,1 Mar 2006
12,16,35,22,3,0,72.72,6,caught,2,v England,Mohali,9 Mar 2006
13,DNB,-,-,-,-,-,-,-,4,v England,Mohali,9 Mar 2006
14,64,206,118,10,0,54.23,6,run out,2,v England,Mumbai,18 Mar 2006
15,5,24,11,0,0,45.45,8,caught,4,v England,Mumbai,18 Mar 2006
16,19,34,27,2,0,70.37,7,caught,1,v West Indies,St John's,2 Jun 2006
17,69,51,52,4,6,132.69,7,caught,3,v West Indies,St John's,2 Jun 2006
18,9,42,34,0,0,26.47,7,caught,1,v West Indies,Gros Islet,10 Jun 2006
19,29,104,56,5,0,51.78,7,lbw,2,v West Indies,Basseterre,22 Jun 2006
20,20,43,32,0,2,62.50,5,caught,4,v West Indies,Basseterre,22 Jun 2006
21,3,12,4,0,0,75.00,7,caught,1,v West Indies,Kingston,30 Jun 2006
22,19,58,39,4,0,48.71,7,bowled,3,v West Indies,Kingston,30 Jun 2006
23,5,23,20,0,0,25.00,7,caught,1,v South Africa,Johannesburg,15 Dec 2006
24,18,35,25,3,0,72.00,7,caught,3,v South Africa,Johannesburg,15 Dec 2006
25,34,72,39,7,0,87.17,7,caught,2,v South Africa,Durban,26 Dec 2006
26,47,106,67,10,0,70.14,7,caught,4,v South Africa,Durban,26 Dec 2006
27,36,81,38,6,0,94.73,6,caught,1,v Bangladesh,Chattogram,18 May 2007
28,17*,28,17,1,1,100.00,6,not out,3,v Bangladesh,Chattogram,18 May 2007
29,51*,61,50,3,4,102.00,6,not out,1,v Bangladesh,Dhaka,25 May 2007
30,0,15,5,0,0,0.00,8,caught,2,v England,Lord's,19 Jul 2007
31,76*,203,159,10,0,47.79,7,not out,4,v England,Lord's,19 Jul 2007
32,5,11,6,1,0,83.33,7,caught,2,v England,Nottingham,27 Jul 2007
33,DNB,-,-,-,-,-,-,-,4,v England,Nottingham,27 Jul 2007
34,92,120,81,9,4,113.58,7,caught,1,v England,The Oval,9 Aug 2007
35,36,79,64,4,0,56.25,7,caught,3,v England,The Oval,9 Aug 2007
36,57,124,93,8,0,61.29,7,caught,2,v Pakistan,Delhi,22 Nov 2007
37,DNB,-,-,-,-,-,-,-,4,v Pakistan,Delhi,22 Nov 2007
38,50*,95,82,6,1,60.97,7,not out,1,v Pakistan,Kolkata,30 Nov 2007
39,37,92,61,2,0,60.65,3,bowled,3,v Pakistan,Kolkata,30 Nov 2007
40,0,2,2,0,0,0.00,7,lbw,2,v Australia,Melbourne,26 Dec 2007
41,11,32,32,2,0,34.37,7,caught,4,v Australia,Melbourne,26 Dec 2007
42,2,19,13,0,0,15.38,7,caught,2,v Australia,Sydney,2 Jan 2008
43,35,117,82,6,0,42.68,7,lbw,4,v Australia,Sydney,2 Jan 2008
